feature,feature_idx,motif,rpb,pval,rpb_abs,p_empirical,p_fdr,significant_fdr
z252,252,in_feedforward_loop,-0.08594165971445565,5.2154931903722276e-08,0.08594165971445565,0.0,0.0,True
z8,8,in_feedback_loop,0.3569093426675136,1.7903418808555543e-120,0.3569093426675136,0.0,0.0,True
z9,9,in_feedback_loop,0.2767472771383169,3.0356320482122382e-71,0.2767472771383169,0.0,0.0,True
z36,36,in_feedback_loop,0.4229707489663166,2.2253288175863334e-173,0.4229707489663166,0.0,0.0,True
z37,37,in_feedback_loop,0.3279257393770958,6.543834520233274e-101,0.3279257393770958,0.0,0.0,True
z43,43,in_feedback_loop,0.038739067743531065,0.014276589767678455,0.038739067743531065,0.054,0.0613491124260355,False
z47,47,in_feedback_loop,0.2387384665571019,5.940133817388059e-53,0.2387384665571019,0.0,0.0,True
z58,58,in_feedback_loop,0.05756144985162117,0.00027012051517110456,0.05756144985162117,0.0,0.0,True
z63,63,in_feedback_loop,0.22087637361803053,2.150797942059091e-45,0.22087637361803053,0.0,0.0,True
z64,64,in_feedback_loop,0.25272137108240156,2.5091854482184783e-59,0.25272137108240156,0.0,0.0,True
z65,65,in_feedback_loop,-0.027165802983935304,0.0858155376938202,0.027165802983935304,0.067,0.07435838150289018,False
z71,71,in_feedback_loop,0.23738919255652793,2.3306133348735058e-52,0.23738919255652793,0.0,0.0,True
z73,73,in_feedback_loop,0.2564271812753163,4.382233684206472e-61,0.2564271812753163,0.0,0.0,True
z77,77,in_feedback_loop,0.3993257465622615,4.900273211902709e-153,0.3993257465622615,0.0,0.0,True
z101,101,in_feedback_loop,0.22333021612547965,2.1500285154888012e-46,0.22333021612547965,0.0,0.0,True
z107,107,in_feedback_loop,0.2284522948225791,1.605774863151691e-48,0.2284522948225791,0.0,0.0,True
z112,112,in_feedback_loop,-0.02307858845225281,0.14446708009657602,0.02307858845225281,0.129,0.13914606741573032,False
z117,117,in_feedback_loop,0.36060649224057095,4.0295461081979974e-123,0.36060649224057095,0.0,0.0,True
z118,118,in_feedback_loop,0.23127115999539308,1.0294517596036917e-49,0.23127115999539308,0.0,0.0,True
z121,121,in_feedback_loop,0.2160511552025748,1.837146377331849e-43,0.2160511552025748,0.0,0.0,True
z122,122,in_feedback_loop,0.2442625738305936,2.0141588087636177e-55,0.2442625738305936,0.0,0.0,True
