variant,motif,feature_idx,graph_id,graph_idx,num_edges,num_motif_edges,motif_ratio,gnn_auroc,sae_auroc,gnn_auprc,sae_auprc
topk,in_feedforward_loop,52,4010,10,26,20,0.7692307692307693,0.24166666666666664,0.6125,0.6972851273683318,0.8850370353330881
topk,in_feedforward_loop,52,4011,11,28,27,0.9642857142857143,0.5185185185185185,0.8518518518518519,0.9775973317900974,0.9894179894179893
topk,in_feedforward_loop,52,4012,12,22,12,0.5454545454545454,0.5583333333333333,0.5,0.5706273165831989,0.5454545454545454
topk,in_feedforward_loop,52,4013,13,30,29,0.9666666666666667,0.6206896551724138,1.0,0.9846173086727807,0.9999999999999998
topk,in_feedforward_loop,52,4014,14,29,26,0.896551724137931,0.6025641025641025,0.8205128205128205,0.9489323250969678,0.9787556027095872
topk,in_feedforward_loop,52,4015,15,18,11,0.6111111111111112,0.474025974025974,0.6168831168831168,0.674470226742954,0.7295815295815297
topk,in_feedforward_loop,52,4016,16,25,20,0.8,0.76,0.625,0.9347993353806721,0.8500000000000003
topk,in_feedforward_loop,52,4017,17,27,21,0.7777777777777778,0.23015873015873017,0.3571428571428571,0.6794479682207313,0.7926953476765508
topk,in_feedforward_loop,52,4019,18,22,17,0.7727272727272727,0.7294117647058824,0.5470588235294118,0.9002567693744165,0.8529411764705883
topk,in_feedforward_loop,52,4021,19,33,32,0.9696969696969697,0.78125,0.71875,0.9926756715773593,0.9911742424242425
topk,in_single_input_module,52,4003,0,26,3,0.11538461538461539,0.45652173913043476,0.5072463768115942,0.2467948717948718,0.14163614163614163
topk,in_single_input_module,52,4004,1,19,4,0.21052631578947367,0.5833333333333333,0.5833333333333334,0.3302631578947368,0.27192982456140347
topk,in_single_input_module,52,4005,2,28,4,0.14285714285714285,0.49999999999999994,0.5208333333333334,0.38975155279503104,0.2299498746867168
topk,in_single_input_module,52,4006,3,24,5,0.20833333333333334,0.43684210526315786,0.6736842105263159,0.19801587301587303,0.569047619047619
topk,in_single_input_module,52,4007,4,22,5,0.22727272727272727,0.5,0.5,0.22727272727272727,0.22727272727272727
topk,in_single_input_module,52,4008,5,21,4,0.19047619047619047,0.3529411764705882,0.5,0.19047619047619047,0.19047619047619047
topk,in_single_input_module,52,4009,6,24,6,0.25,0.4537037037037037,0.5694444444444444,0.26661220043572986,0.4464285714285714
topk,in_single_input_module,52,4011,7,28,4,0.14285714285714285,0.5,0.38541666666666663,0.14285714285714285,0.14285714285714285
topk,in_single_input_module,52,4013,8,30,5,0.16666666666666666,0.628,0.744,0.3070588235294118,0.3625258799171842
topk,in_single_input_module,52,4014,9,29,3,0.10344827586206896,0.5128205128205128,0.7307692307692307,0.19162640901771336,0.2722222222222222
topk,in_single_input_module,52,4015,10,18,3,0.16666666666666666,0.5,0.16666666666666669,0.16666666666666666,0.16666666666666666
topk,in_single_input_module,52,4017,11,27,4,0.14814814814814814,0.4293478260869565,0.6195652173913044,0.15438700732818378,0.3406084656084656
topk,in_single_input_module,52,4018,12,22,4,0.18181818181818182,0.5,0.4027777777777778,0.18181818181818182,0.20340909090909093
topk,in_single_input_module,52,4020,13,31,3,0.0967741935483871,0.41666666666666663,0.5,0.11955965181771633,0.0967741935483871
topk,in_single_input_module,52,4021,14,33,3,0.09090909090909091,0.4888888888888889,0.7222222222222222,0.11913884327677432,0.19345238095238093
topk,in_single_input_module,52,4022,15,24,4,0.16666666666666666,0.18125000000000002,0.33125000000000004,0.1247132253711201,0.15625
topk,in_single_input_module,52,4023,16,30,3,0.1,0.2222222222222222,0.2962962962962963,0.1,0.1
topk,in_single_input_module,52,4025,17,27,5,0.18518518518518517,0.5818181818181818,0.18181818181818182,0.2506211180124224,0.13736772486772486
topk,in_single_input_module,52,4026,18,27,3,0.1111111111111111,0.3055555555555555,0.6319444444444444,0.11044973544973545,0.2148148148148148
topk,in_single_input_module,52,4028,19,24,4,0.16666666666666666,0.38749999999999996,0.475,0.1530448717948718,0.3717948717948718
topk,in_cascade,52,4000,0,25,11,0.44,0.3246753246753247,0.5162337662337663,0.37416568280204643,0.4472727272727273
topk,in_cascade,52,4001,1,29,8,0.27586206896551724,0.39880952380952384,0.45833333333333337,0.24742536565675644,0.27732113221464133
topk,in_cascade,52,4002,2,31,4,0.12903225806451613,0.5092592592592593,0.4444444444444445,0.17578345567476,0.15023041474654378
topk,in_cascade,52,4003,3,26,7,0.2692307692307692,0.5451127819548872,0.4586466165413534,0.35148619496445577,0.2546857904000761
topk,in_cascade,52,4004,4,19,7,0.3684210526315789,0.4880952380952381,0.5833333333333333,0.37481203007518793,0.4962406015037593
topk,in_cascade,52,4005,5,28,9,0.32142857142857145,0.3450292397660819,0.43274853801169594,0.3294573524525216,0.3936938305359358
topk,in_cascade,52,4006,6,24,13,0.5416666666666666,0.5,0.6083916083916083,0.636050061050061,0.6728937728937727
topk,in_cascade,52,4007,7,22,10,0.45454545454545453,0.5,0.5,0.45454545454545453,0.45454545454545453
topk,in_cascade,52,4008,8,21,14,0.6666666666666666,0.7346938775510204,0.5,0.8684226021410895,0.6666666666666666
topk,in_cascade,52,4009,9,24,15,0.625,0.3851851851851852,0.28148148148148144,0.571968211527035,0.6051707551707551
topk,in_cascade,52,4011,10,28,6,0.21428571428571427,0.4696969696969697,0.42424242424242425,0.3148496240601504,0.2509607351712615
