,feature,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,variant,latent_dim,k,sparsity_coef,threshold_init,bandwidth,num_experts,latent_per_expert,k_per_expert,p_empirical,p_fdr,significant_fdr
1340,z47,in_cascade,0.02240175692297036,0.15661557697042772,0.02240175692297036,2.4759977991702445e-05,0.9987509369062342,2.4759977991702445e-05,topk,512.0,16.0,,,,,,,0.15661557697042772,0.15661557697042772,False
1341,z49,in_cascade,0.02294860667076352,0.14674233165001052,0.02294860667076352,-3.177055267333893e-05,0.9983972758638162,3.177055267333893e-05,topk,512.0,16.0,,,,,,,0.14674233165001052,0.14674233165001052,False
1342,z61,in_cascade,0.008097638076463444,0.6086594594715188,0.008097638076463444,4.7570796416071363e-05,0.9976002054253871,4.7570796416071363e-05,topk,512.0,16.0,,,,,,,0.6086594594715188,0.6086594594715188,False
1343,z91,in_cascade,-0.011294946395566767,0.47513155975391824,0.011294946395566767,5.595497672037861e-06,0.9997177246141451,5.595497672037861e-06,topk,512.0,16.0,,,,,,,0.47513155975391824,0.47513155975391824,False
1344,z105,in_cascade,0.0008735527956710487,0.9559543742214172,0.0008735527956710487,5.966205906229177e-06,0.9996990235421139,5.966205906229177e-06,topk,512.0,16.0,,,,,,,0.9559543742214172,0.9559543742214172,False
1345,z112,in_cascade,-0.00965584550904892,0.5415222635824248,0.00965584550904892,5.198285651020814e-05,0.9973776318680411,5.198285651020814e-05,topk,512.0,16.0,,,,,,,0.5415222635824248,0.5415222635824248,False
1346,z113,in_cascade,0.02093745686650103,0.1855255341545743,0.02093745686650103,2.2078427163531138e-05,0.9988862126269025,2.2078427163531138e-05,topk,512.0,16.0,,,,,,,0.1855255341545743,0.1855255341545743,False
1347,z117,in_cascade,-0.00911073902187351,0.56458436600126,0.00911073902187351,9.699291351594058e-06,0.9995107010573864,9.699291351594058e-06,topk,512.0,16.0,,,,,,,0.56458436600126,0.56458436600126,False
1348,z121,in_cascade,0.020008583833308634,0.20580498718085974,0.020008583833308634,8.732106598850417e-06,0.9995594925008991,8.732106598850417e-06,topk,512.0,16.0,,,,,,,0.20580498718085974,0.20580498718085974,False
1349,z140,in_cascade,-0.012757438033321987,0.4198786060281696,0.012757438033321987,7.826203565335435e-06,0.9996051924749825,7.826203565335435e-06,topk,512.0,16.0,,,,,,,0.4198786060281696,0.4198786060281696,False
1350,z148,in_cascade,0.016042108402778702,0.3104204572098428,0.016042108402778702,5.783178520796413e-05,0.9970825734511127,5.783178520796413e-05,topk,512.0,16.0,,,,,,,0.3104204572098428,0.3104204572098428,False
1351,z154,in_cascade,-0.010748894762751933,0.4967406987786822,0.010748894762751933,2.8720730252472515e-05,0.9985511296037677,2.8720730252472515e-05,topk,512.0,16.0,,,,,,,0.4967406987786822,0.4967406987786822,False
1352,z164,in_cascade,0.006153621742245716,0.6972234362975732,0.006153621742245716,2.5339578630551984e-05,0.9987216978998338,2.5339578630551984e-05,topk,512.0,16.0,,,,,,,0.6972234362975732,0.6972234362975732,False
1353,z175,in_cascade,-0.0013633326594725379,0.9313091642825911,0.0013633326594725379,3.901230222982553e-05,0.9980319531205764,3.901230222982553e-05,topk,512.0,16.0,,,,,,,0.9313091642825911,0.9313091642825911,False
1354,z189,in_cascade,0.006655576988250929,0.6738947435641576,0.006655576988250929,6.9806485582524225e-06,0.9996478480810956,6.9806485582524225e-06,topk,512.0,16.0,,,,,,,0.6738947435641576,0.6738947435641576,False
1355,z200,in_cascade,-0.009282648890262543,0.55726051482462,0.009282648890262543,2.4971843390250367e-05,0.9987402489713986,2.4971843390250367e-05,topk,512.0,16.0,,,,,,,0.55726051482462,0.55726051482462,False
1356,z203,in_cascade,0.02528515901137817,0.10983622981147662,0.02528515901137817,1.1732169407320178e-05,0.9994081487285128,1.1732169407320178e-05,topk,512.0,16.0,,,,,,,0.10983622981147662,0.10983622981147662,False
1357,z209,in_cascade,-0.011258578391639832,0.47655455260562735,0.011258578391639832,5.340475548723956e-05,0.9973059019009374,5.340475548723956e-05,topk,512.0,16.0,,,,,,,0.47655455260562735,0.47655455260562735,False
1358,z231,in_cascade,-0.0010257474592351126,0.9482904797836144,0.0010257474592351126,8.648871810958917e-06,0.999563691435508,8.648871810958917e-06,topk,512.0,16.0,,,,,,,0.9482904797836144,0.9482904797836144,False
1359,z241,in_cascade,-0.0009408028384672129,0.9525673958059976,0.0009408028384672129,5.262740289072032e-05,0.9973451166927725,5.262740289072032e-05,topk,512.0,16.0,,,,,,,0.9525673958059976,0.9525673958059976,False
1360,z263,in_cascade,0.008046019900919778,0.6109455801117559,0.008046019900919778,3.2750106088783384e-05,0.9983478605543489,3.2750106088783384e-05,topk,512.0,16.0,,,,,,,0.6109455801117559,0.6109455801117559,False
1361,z271,in_cascade,0.007080553592695244,0.654384750802449,0.007080553592695244,2.2387786804117966e-05,0.998870606414086,2.2387786804117966e-05,topk,512.0,16.0,,,,,,,0.654384750802449,0.654384750802449,False
1362,z277,in_cascade,-0.0011755957232944185,0.940749406261567,0.0011755957232944185,-3.0527366777326204e-06,0.9998459989643961,3.0527366777326204e-06,topk,512.0,16.0,,,,,,,0.940749406261567,0.940749406261567,False
1363,z298,in_cascade,0.007133984672675735,0.651948087163996,0.007133984672675735,1.128744867668046e-05,0.9994305834952834,1.128744867668046e-05,topk,512.0,16.0,,,,,,,0.651948087163996,0.651948087163996,False
1364,z306,in_cascade,0.014046051034097999,0.3744781275288835,0.014046051034097999,2.4318441527903384e-05,0.9987732110158208,2.4318441527903384e-05,topk,512.0,16.0,,,,,,,0.3744781275288835,0.3744781275288835,False
1365,z316,in_cascade,0.019680529363740696,0.21333860458355655,0.019680529363740696,4.798762762818487e-06,0.9997579174012174,4.798762762818487e-06,topk,512.0,16.0,,,,,,,0.21333860458355655,0.21333860458355655,False
1366,z324,in_cascade,0.021491476453135934,0.17415532210472878,0.021491476453135934,3.094235226294446e-05,0.9984390559072942,3.094235226294446e-05,topk,512.0,16.0,,,,,,,0.17415532210472878,0.17415532210472878,False
1367,z326,in_cascade,-0.007906682547518066,0.6171356106597148,0.007906682547518066,-1.5873143420473863e-05,0.9991992495953159,1.5873143420473863e-05,topk,512.0,16.0,,,,,,,0.6171356106597148,0.6171356106597148,False
1368,z339,in_cascade,0.02291885865844593,0.14726688473174043,0.02291885865844593,3.2518887044807876e-06,0.9998359523664742,3.2518887044807876e-06,topk,512.0,16.0,,,,,,,0.14726688473174043,0.14726688473174043,False
1369,z358,in_cascade,-0.0011071078087467132,0.9441954242335954,0.0011071078087467132,-1.0471485171097486e-06,0.9999471746259304,1.0471485171097486e-06,topk,512.0,16.0,,,,,,,0.9441954242335954,0.9441954242335954,False
1370,z364,in_cascade,0.008069127741472459,0.6099216849373331,0.008069127741472459,3.5413758118288396e-06,0.9998213486458495,3.5413758118288396e-06,topk,512.0,16.0,,,,,,,0.6099216849373331,0.6099216849373331,False
1371,z398,in_cascade,0.020644040231133247,0.1917652642885729,0.020644040231133247,3.1811765017094457e-05,0.9983951968339122,3.1811765017094457e-05,topk,512.0,16.0,,,,,,,0.1917652642885729,0.1917652642885729,False
1372,z401,in_cascade,0.01318604360680091,0.4044307723832619,0.01318604360680091,-1.147822484367806e-05,0.9994209594356351,1.147822484367806e-05,topk,512.0,16.0,,,,,,,0.4044307723832619,0.4044307723832619,False
1373,z405,in_cascade,0.014617890232967744,0.3553421243483665,0.014617890232967744,5.013199226259427e-05,0.9974710017056652,5.013199226259427e-05,topk,512.0,16.0,,,,,,,0.3553421243483665,0.3553421243483665,False
1374,z414,in_cascade,0.003500364553017018,0.824847966541478,0.003500364553017018,1.9852460198512435e-05,0.9989985056134408,1.9852460198512435e-05,topk,512.0,16.0,,,,,,,0.824847966541478,0.824847966541478,False
1375,z425,in_cascade,0.024228441391598632,0.12550093343914231,0.024228441391598632,1.7469993775750918e-05,0.9991186935240784,1.7469993775750918e-05,topk,512.0,16.0,,,,,,,0.12550093343914231,0.12550093343914231,False
1376,z428,in_cascade,-0.001099450409989087,0.9445807777685743,0.001099450409989087,5.18484706256081e-06,0.9997384406543851,5.18484706256081e-06,topk,512.0,16.0,,,,,,,0.9445807777685743,0.9445807777685743,False
1377,z446,in_cascade,-0.011304905379017887,0.47474229554789593,0.011304905379017887,-2.0723210417197824e-06,0.9998954578723013,2.0723210417197824e-06,topk,512.0,16.0,,,,,,,0.47474229554789593,0.47474229554789593,False
