feature,feature_idx,motif,rpb,pval,rpb_abs,rpb_partial,pval_partial,rpb_partial_abs,p_empirical,p_fdr,significant_fdr
z125,125,in_feedback_loop,0.332854483802812,4.320006491118842e-104,0.332854483802812,0.2776385104390628,1.0380449714760266e-71,0.2776385104390628,0.0,0.0,True
z126,126,in_feedback_loop,-0.7349275382973506,0.0,0.7349275382973506,-0.6972762368220417,0.0,0.6972762368220417,0.0,0.0,True
z129,129,in_feedback_loop,0.3428224762741338,1.0520017989487221e-110,0.3428224762741338,0.2868970859014689,1.1787574225147097e-76,0.2868970859014689,0.0,0.0,True
z131,131,in_feedback_loop,0.23130609757818132,9.947581065762265e-50,0.23130609757818132,0.19396411232845917,3.299846334123516e-35,0.19396411232845917,0.0,0.0,True
z132,132,in_feedback_loop,0.2534477963428869,1.1408664949643956e-59,0.2534477963428869,0.21119257502092617,1.452823272014218e-41,0.21119257502092617,0.0,0.0,True
z134,134,in_feedback_loop,-0.020597737571303305,0.19276385817014635,0.020597737571303305,-0.001651832166211628,0.9168214040719798,0.001651832166211628,0.948,0.999,False
z136,136,in_feedback_loop,0.2421772739665067,1.7530337767064285e-54,0.2421772739665067,0.20202042718540353,4.153573196450814e-38,0.20202042718540353,0.0,0.0,True
z154,154,in_feedback_loop,0.34355571448180466,3.356125709121645e-111,0.34355571448180466,0.28595331789912815,3.838410159071021e-76,0.28595331789912815,0.0,0.0,True
z169,169,in_feedback_loop,0.24568456785110776,4.551269994646758e-56,0.24568456785110776,0.20236623435278372,3.098208168332698e-38,0.20236623435278372,0.0,0.0,True
z173,173,in_feedback_loop,0.22722756914749337,5.236338481459996e-48,0.22722756914749337,0.19278128697288838,8.583854882359585e-35,0.19278128697288838,0.0,0.0,True
z178,178,in_feedback_loop,0.22627250119071377,1.309902133845979e-47,0.22627250119071377,0.19064680517828608,4.74330673303389e-34,0.19064680517828608,0.0,0.0,True
z182,182,in_feedback_loop,0.3244328754940048,1.0818551799963824e-98,0.3244328754940048,0.27798376196087543,6.842488740257637e-72,0.27798376196087543,0.0,0.0,True
z187,187,in_feedback_loop,0.43036308482334773,4.410359010731897e-180,0.43036308482334773,0.3616154915599028,7.52550646946871e-124,0.3616154915599028,0.0,0.0,True
z188,188,in_feedback_loop,-0.028848099336645765,0.0681031925121363,0.028848099336645765,-0.002358606301778761,0.8814550427098086,0.002358606301778761,0.882,0.999,False
z192,192,in_feedback_loop,0.21811379880791715,2.7806934905384827e-44,0.21811379880791715,0.18907368154052198,1.6504946795131482e-33,0.18907368154052198,0.0,0.0,True
z195,195,in_feedback_loop,-0.02040121559105572,0.19704470633403579,0.02040121559105572,-0.0016171825913374486,0.9185600610450668,0.0016171825913374486,0.951,0.999,False
z201,201,in_feedback_loop,0.24718322140829588,9.392892788312635e-57,0.24718322140829588,0.20783912622380205,2.786332870533996e-40,0.20783912622380205,0.0,0.0,True
z204,204,in_feedback_loop,0.28375571199190297,5.893769996647825e-75,0.28375571199190297,0.23456668441015777,3.9562737110490767e-51,0.23456668441015777,0.0,0.0,True
z207,207,in_feedback_loop,0.3183446390820049,6.779019475697e-95,0.3183446390820049,0.2695290333379924,1.559402525757151e-67,0.2695290333379924,0.0,0.0,True
z212,212,in_feedback_loop,0.43207545657096863,1.168912999889984e-181,0.43207545657096863,0.36363320981724667,2.578496885992447e-125,0.36363320981724667,0.0,0.0,True
